rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2770.0,186.0,58.509803921568626,-206.49019607843138,-2.11,4.29,-0.69
2770.05,233.0,41.509803921568626,-175.49019607843138,-0.57,3.83,1.19
2770.1,201.0,90.50980392156863,-221.49019607843138,-27.49,5.9,2.76
2770.15,170.0,58.509803921568626,-190.49019607843138,-8.1,1.8,4.86
2770.2,233.0,74.50980392156863,-236.49019607843138,9.67,-0.92,4.02
2770.25,233.0,90.50980392156863,-252.49019607843138,4.98,0.79,3.32
2770.3,170.0,74.50980392156863,-221.49019607843138,0.68,1.63,3.15
2770.35,217.0,74.50980392156863,-221.49019607843138,2.85,2.05,3.18
2770.4,186.0,58.509803921568626,-206.49019607843138,1.34,1.49,2.34
2770.45,201.0,58.509803921568626,-206.49019607843138,6.1,-1.65,0.94
2770.5,186.0,74.50980392156863,-206.49019607843138,3.16,-2.74,0.73
2770.55,186.0,58.509803921568626,-190.49019607843138,4.32,-3.51,-3.0
2770.6,186.0,25.50980392156863,-175.49019607843138,1.59,-1.41,-7.03
2770.65,201.0,41.509803921568626,-175.49019607843138,2.67,-0.43,-7.76
2770.7,186.0,58.509803921568626,-206.49019607843138,5.23,-0.57,-6.08
2770.75,186.0,74.50980392156863,-206.49019607843138,1.41,-3.02,-4.68
2770.8,201.0,41.509803921568626,-206.49019607843138,2.43,-4.24,-3.88
2770.85,201.0,58.509803921568626,-190.49019607843138,2.01,-1.97,-1.74
2770.9,217.0,74.50980392156863,-190.49019607843138,0.15,0.65,-0.48
2770.95,201.0,74.50980392156863,-160.49019607843138,2.22,0.79,0.24
2771.0,233.0,58.509803921568626,-175.49019607843138,1.06,0.37,0.42
2771.05,201.0,41.509803921568626,-175.49019607843138,1.34,0.47,0.1
2771.1,201.0,74.50980392156863,-206.49019607843138,0.85,1.0,0.07
2771.15,201.0,58.509803921568626,-190.49019607843138,3.83,1.03,-3.91
2771.2,170.0,58.509803921568626,-206.49019607843138,-1.1,1.28,-2.79
2771.25,217.0,58.509803921568626,-175.49019607843138,-2.67,0.12,-2.97
2771.3,217.0,58.509803921568626,-175.49019607843138,-4.25,-0.85,-4.19
2771.35,186.0,58.509803921568626,-175.49019607843138,-0.96,-1.16,-6.4
2771.4,201.0,41.509803921568626,-175.49019607843138,-5.19,-0.81,-6.64
2771.45,217.0,58.509803921568626,-206.49019607843138,-0.15,-3.89,-7.83
2771.5,170.0,74.50980392156863,-190.49019607843138,-10.86,-4.42,-4.82
2771.55,249.0,58.509803921568626,-175.49019607843138,-7.54,-3.79,-5.35
2771.6,217.0,74.50980392156863,-206.49019607843138,-3.13,-4.91,-10.88
2771.65,201.0,90.50980392156863,-206.49019607843138,-0.4,-6.97,-10.11
2771.7,249.0,90.50980392156863,-206.49019607843138,-19.05,-4.7,-16.44
2771.75,249.0,41.509803921568626,-221.49019607843138,-38.48,-5.5,-18.12
2771.8,217.0,107.50980392156863,-98.49019607843137,-10.09,-13.73,-15.6
2771.85,186.0,139.50980392156862,-221.49019607843138,4.95,-22.23,-7.1
2771.9,186.0,172.50980392156862,-237.49019607843138,69.21,-39.28,-5.0
2771.95,58.0,172.50980392156862,-221.49019607843138,54.96,-63.64,-54.63
2772.0,-195.0,-133.50980392156862,-144.49019607843138,-7.57,-54.05,-64.99
