rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1771.0,106.0,319.5098039215686,313.01960784313724,-3.66,-3.6,21.27
1771.05,138.0,-258.0,298.01960784313724,-9.61,0.76,19.38
1771.1,-20.0,-192.0,252.01960784313727,-1.38,-1.29,11.92
1771.15,138.0,-209.0,-298.4901960784314,-3.76,-5.11,7.23
1771.2,233.0,-274.0,298.01960784313724,-4.36,2.09,-1.3
1771.25,170.0,-225.0,298.01960784313724,20.2,-2.62,-26.74
1771.3,27.0,-209.0,-283.4901960784314,5.54,-0.28,0.27
1771.35,106.0,-209.0,236.01960784313727,-13.32,-0.66,-5.81
1771.4,74.0,-192.0,298.01960784313724,0.11,-0.56,-6.69
1771.45,90.0,-176.0,298.01960784313724,5.08,-3.22,6.04
1771.5,11.0,-176.0,298.01960784313724,8.58,-4.55,-4.24
1771.55,170.0,-241.0,313.01960784313724,7.67,-1.36,-5.01
1771.6,122.0,-225.0,298.01960784313724,2.46,-0.1,2.16
1771.65,74.0,-192.0,-298.4901960784314,4.24,-1.92,-1.89
1771.7,154.0,-192.0,282.01960784313724,-1.31,-1.5,-3.57
1771.75,122.0,-258.0,282.01960784313724,1.02,-1.12,-0.88
1771.8,90.0,-225.0,-313.4901960784314,2.28,-4.16,-3.92
1771.85,122.0,-209.0,298.01960784313724,5.05,0.9,-7.07
1771.9,90.0,-241.0,282.01960784313724,6.8,0.34,-3.05
1771.95,122.0,-225.0,-298.4901960784314,-2.33,0.06,-3.89
1772.0,106.0,-258.0,298.01960784313724,6.34,-3.88,-3.47
1772.05,90.0,-209.0,298.01960784313724,19.96,-10.64,-5.92
1772.1,154.0,-192.0,298.01960784313724,13.27,-1.75,-9.1
1772.15,106.0,-258.0,267.01960784313724,4.52,3.6,-1.96
1772.2,106.0,-258.0,298.01960784313724,3.47,3.25,0.13
1772.25,138.0,-274.0,313.01960784313724,6.94,4.75,-1.51
1772.3,90.0,-209.0,267.01960784313724,-2.43,7.31,10.94
1772.35,138.0,-258.0,267.01960784313724,-8.63,8.92,-3.61
1772.4,42.0,-241.0,-298.4901960784314,-8.03,6.08,-6.83
1772.45,122.0,-209.0,282.01960784313724,4.21,1.74,-22.44
1772.5,42.0,-209.0,-313.4901960784314,33.75,-17.29,-12.81
1772.55,201.0,-274.0,282.01960784313724,28.36,-6.09,-26.99
1772.6,58.0,303.5098039215686,267.01960784313724,-6.77,-7.59,-35.11
1772.65,122.0,286.5098039215686,-283.4901960784314,12.33,-2.94,-11.24
1772.7,154.0,-160.0,252.01960784313727,8.51,15.22,-0.49
1772.75,90.0,319.5098039215686,282.01960784313724,1.9,10.18,71.6
1772.8,27.0,303.5098039215686,252.01960784313727,-14.61,13.19,-9.55
1772.85,186.0,-258.0,-160.49019607843138,-11.85,22.99,35.3
1772.9,-29.49019607843137,313.0,-298.4901960784314,-22.87,28.55,41.5
1772.95,19.49019607843137,194.01960784313727,-252.49019607843138,-28.12,34.01,43.11
1773.0,-43.509803921568626,-78.0,-267.4901960784314,-27.21,41.47,44.26
1773.05,-123.50980392156863,-209.0,-175.49019607843138,-19.65,36.22,30.47
1773.1,4.490196078431373,286.5098039215686,55.509803921568626,-24.34,34.19,22.21
1773.15,-123.50980392156863,19.0,101.50980392156863,1.72,23.06,15.63
1773.2,194.49019607843138,-176.0,-156.0,-13.81,22.78,6.22
1773.25,210.49019607843138,303.5098039215686,67.01960784313725,10.4,17.39,-5.71
1773.3,274.4901960784314,35.0,243.0,2.63,20.4,-16.24
1773.35,171.98039215686273,-160.0,-295.0,-9.85,20.43,-24.26
1773.4,28.980392156862745,35.0,132.50980392156862,3.05,17.42,-32.41
1773.45,-247.52941176470588,123.50980392156863,86.50980392156863,4.14,6.12,-25.69
1773.5,-311.52941176470586,-13.0,178.50980392156862,6.34,8.78,-21.63
1773.55,-298.5098039215686,-302.01960784313724,27.0,-3.8,18.44,-8.75
1773.6,-193.01960784313727,-274.0,-3.0,-25.85,32.44,-1.37
1773.65,219.98039215686273,-307.0,181.0,-20.04,40.87,5.06
1773.7,249.0,258.4901960784314,77.49019607843137,-24.45,40.73,16.86
1773.75,-130.01960784313727,25.50980392156863,0.49019607843137253,-20.6,41.15,26.69
1773.8,306.4901960784314,205.50980392156862,319.0,-23.57,29.57,12.55
1773.85,11.0,62.490196078431374,307.4901960784314,-3.9,13.22,-9.42
1773.9,-320.01960784313724,-40.490196078431374,-76.50980392156863,18.66,9.44,-29.47
1773.95,210.49019607843138,-290.0,-292.5098039215686,46.17,23.16,-41.27
1774.0,-84.0,-67.50980392156863,215.49019607843138,45.3,48.82,-30.42
1774.05,-257.01960784313724,-236.49019607843138,258.0,37.91,76.47,-30.42
1774.1,-11.509803921568627,-13.0,273.0,32.03,103.77,-30.91
1774.15,-68.0,-51.509803921568626,307.4901960784314,28.46,106.01,-54.78
1774.2,-311.52941176470586,-317.4901960784314,-292.5098039215686,-37.68,169.29,-65.0
1774.25,-43.509803921568626,-149.50980392156862,-15.509803921568627,-6.11,100.72,-82.04
1774.3,4.490196078431373,68.0,200.49019607843138,-18.92,111.96,-57.86
1774.35,-295.52941176470586,-317.4901960784314,27.0,-114.57,163.55,-9.1
1774.4,-154.50980392156862,-35.509803921568626,123.49019607843137,-81.71,184.44,29.39
1774.45,131.49019607843138,-307.0,0.49019607843137253,-104.0,192.7,40.1
1774.5,-209.01960784313727,-307.0,212.0,-78.66,163.27,18.5
1774.55,147.49019607843138,-45.0,-199.50980392156862,-81.71,129.67,21.58
1774.6,4.490196078431373,-78.0,-169.50980392156862,-82.51,124.45,18.05
1774.65,67.49019607843137,-209.0,-276.5098039215686,-63.68,132.43,18.64
1774.7,-43.509803921568626,-45.0,-292.5098039215686,-40.3,87.53,32.15
1774.75,242.49019607843138,-111.0,-30.50980392156863,-19.23,29.88,26.34
1774.8,-320.01960784313724,-143.0,92.49019607843137,-7.93,15.43,13.64
1774.85,258.4901960784314,-143.0,-61.509803921568626,-6.88,19.42,17.0
1774.9,-154.50980392156862,-176.0,-46.509803921568626,7.39,17.49,18.78
1774.95,-59.509803921568626,-94.0,15.490196078431373,6.45,-11.93,25.5
1775.0,-84.0,-67.50980392156863,215.49019607843138,35.81,-36.82,21.58
1775.05,-257.01960784313724,-236.49019607843138,258.0,48.03,-72.45,-15.65
1775.1,-11.509803921568627,-13.0,273.0,37.42,-64.85,-31.99
1775.15,-68.0,-51.509803921568626,307.4901960784314,38.47,-40.77,-9.42
1775.2,-311.52941176470586,-317.4901960784314,-292.5098039215686,13.83,-50.12,-10.08
1775.25,-43.509803921568626,-149.50980392156862,-15.509803921568627,16.74,-47.67,0.69
1775.3,4.490196078431373,68.0,200.49019607843138,11.03,-25.09,-5.5
1775.35,-295.52941176470586,-317.4901960784314,27.0,12.82,-9.83,-5.71
1775.4,-154.50980392156862,-35.509803921568626,123.49019607843137,5.96,-12.56,-2.35
1775.45,131.49019607843138,-307.0,0.49019607843137253,-1.38,-15.05,4.05
1775.5,-209.01960784313727,-307.0,212.0,-8.38,-2.06,-4.55
1775.55,147.49019607843138,-45.0,-199.50980392156862,-14.68,29.74,-24.64
1775.6,4.490196078431373,-78.0,-169.50980392156862,-72.26,47.52,-29.37
1775.65,67.49019607843137,-209.0,-276.5098039215686,-42.51,58.16,-42.74
1775.7,-43.509803921568626,-45.0,-292.5098039215686,-59.13,31.42,-19.99
1775.75,242.49019607843138,-111.0,-30.50980392156863,-35.68,-2.83,-5.53
1775.8,-320.01960784313724,-143.0,92.49019607843137,-37.36,54.17,-4.97
1775.85,258.4901960784314,-143.0,-61.509803921568626,-38.2,47.14,-5.64
1775.9,-154.50980392156862,-176.0,-46.509803921568626,16.88,9.93,-15.37
1775.95,-59.509803921568626,-94.0,15.490196078431373,58.67,-53.69,-53.9
1776.0,194.49019607843138,19.0,-169.50980392156862,35.36,-65.55,-26.08
1776.05,-305.01960784313724,-286.01960784313724,3.980392156862745,-19.97,14.27,14.58
1776.1,70.47058823529412,68.0,-12.019607843137255,-35.05,34.92,17.1
1776.15,-199.52941176470588,-268.4901960784314,-184.50980392156862,-12.44,16.37,18.33
1776.2,-50.01960784313726,-121.49019607843137,12.0,-25.15,21.45,14.83
1776.25,-161.01960784313727,-51.509803921568626,92.49019607843137,-24.62,25.51,14.86
1776.3,-98.01960784313725,-286.01960784313724,-27.019607843137255,-24.62,3.7,9.37
1776.35,67.49019607843137,-45.0,307.4901960784314,-10.24,-21.73,4.15
1776.4,4.490196078431373,194.01960784313727,-307.5098039215686,-10.34,-33.88,-10.71
1776.45,129.50980392156862,-219.49019607843138,166.0,-10.1,-40.0,-10.22
1776.5,2.5098039215686274,133.0,-230.50980392156862,3.47,-33.42,-18.8
1776.55,51.490196078431374,291.4901960784314,-273.01960784313724,1.76,-31.78,0.9
