rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2323.0,-116.0,-94.0,190.01960784313727,23.64,-2.15,0.39
2323.05,11.0,-127.0,221.01960784313727,14.37,9.63,-10.31
2323.1,27.0,-274.0,206.01960784313727,27.39,8.55,-0.4
2323.15,58.0,-258.0,159.01960784313727,22.91,29.06,-1.21
2323.2,-36.0,-241.0,113.01960784313725,36.07,25.1,-0.82
2323.25,-20.0,-258.0,206.01960784313727,30.43,21.64,-5.58
2323.3,-52.0,-176.0,-313.4901960784314,24.55,17.26,-7.33
2323.35,-4.0,-258.0,-236.49019607843138,15.0,10.02,-2.99
2323.4,42.0,-258.0,-190.49019607843138,6.35,6.06,0.78
2323.45,27.0,-258.0,-221.49019607843138,3.24,2.0,-0.37
2323.5,74.0,-274.0,-252.49019607843138,-8.41,1.58,0.6
2323.55,106.0,-274.0,-298.4901960784314,-7.18,1.09,3.33
2323.6,122.0,-290.0,-298.4901960784314,-7.81,3.16,4.21
2323.65,58.0,-290.0,-313.4901960784314,0.02,0.67,4.52
2323.7,122.0,-290.0,298.01960784313724,-0.71,0.64,2.7
2323.75,90.0,319.5098039215686,298.01960784313724,2.82,0.46,-1.14
2323.8,90.0,-307.0,282.01960784313724,11.01,0.81,-0.61
2323.85,122.0,-307.0,282.01960784313724,0.68,0.57,2.04
2323.9,90.0,286.5098039215686,-313.4901960784314,4.57,-0.65,0.04
2323.95,58.0,-274.0,298.01960784313724,2.78,0.39,4.66
2324.0,74.0,303.5098039215686,313.01960784313724,9.15,0.64,1.16
2324.05,74.0,-307.0,-313.4901960784314,5.09,-2.36,0.11
2324.1,106.0,303.5098039215686,-298.4901960784314,5.2,-5.02,0.25
2324.15,106.0,303.5098039215686,-298.4901960784314,10.27,-8.94,10.86
2324.2,42.0,319.5098039215686,267.01960784313724,6.21,2.53,-13.25
2324.25,42.0,270.5098039215686,-283.4901960784314,19.34,-11.01,-46.15
2324.3,-20.0,319.5098039215686,282.01960784313724,65.11,69.34,90.06
2324.35,42.0,319.5098039215686,252.01960784313727,12.51,7.11,5.99
2324.4,-218.50980392156862,145.01960784313727,267.01960784313724,-8.41,21.15,10.65
2324.45,249.0,-23.49019607843137,206.01960784313727,25.36,-2.33,4.38
2324.5,81.50980392156863,-214.50980392156862,236.01960784313727,16.12,0.25,8.16
2324.55,-234.50980392156862,319.5098039215686,-67.49019607843137,6.21,1.55,8.44
2324.6,140.98039215686273,276.01960784313724,205.01960784313727,11.5,4.87,6.45
2324.65,42.0,199.0,-101.98039215686275,-10.44,11.31,9.63
2324.7,256.5098039215686,-160.0,-129.49019607843138,-0.57,11.59,11.7
2324.75,210.49019607843138,31.019607843137255,-313.4901960784314,-2.04,14.81,11.56
2324.8,106.0,-258.0,-221.49019607843138,19.93,16.28,15.79
2324.85,34.509803921568626,264.0,39.509803921568626,21.61,28.04,4.8
2324.9,-91.50980392156863,194.01960784313727,-129.49019607843138,37.22,27.52,6.76
2324.95,-234.50980392156862,-154.49019607843138,313.01960784313724,54.13,12.71,-3.24
2325.0,161.50980392156862,3.0,159.01960784313727,101.87,18.73,-4.15
2325.05,297.0,-279.98039215686276,247.52941176470588,113.87,31.37,-53.78
2325.1,274.4901960784314,-209.47058823529412,-228.47058823529412,54.62,95.84,-70.26
2325.15,65.50980392156863,-89.49019607843137,124.52941176470588,104.25,109.07,-101.59
2325.2,11.0,259.01960784313724,-255.98039215686273,130.36,104.55,-123.36
2325.25,-241.01960784313727,-181.98039215686273,-70.98039215686275,129.73,95.87,-142.96
2325.3,-116.0,101.0,252.01960784313727,27.63,112.43,-120.31
2325.35,106.0,139.50980392156862,55.509803921568626,92.91,84.5,-131.72
2325.4,140.98039215686273,-252.49019607843138,132.50980392156862,26.65,114.32,-194.16
2325.45,-313.5098039215686,303.5098039215686,-95.0,18.25,94.47,-221.15
2325.5,249.0,-62.0,273.0,-41.87,40.75,-211.14
2325.55,-116.0,-263.5098039215686,-92.50980392156863,-15.44,-93.47,-170.5
2325.6,-116.0,-280.5098039215686,169.49019607843138,192.87,-89.09,-28.37
2325.65,-4.0,79.49019607843137,243.0,72.78,-36.84,-36.84
2325.7,19.49019607843137,-78.0,-218.0,23.47,19.54,40.92
2325.75,-209.01960784313727,-192.0,-86.98039215686275,-23.56,27.34,74.91
2325.8,258.4901960784314,232.0,316.5098039215686,-85.34,17.37,14.18
2325.85,-273.01960784313724,-290.0,58.0,-174.77,-5.76,14.64
2325.9,-130.01960784313727,188.50980392156862,273.0,-138.57,38.68,11.0
2325.95,-11.509803921568627,-13.0,320.0,10.97,-47.69,67.14
2326.0,-193.01960784313727,144.49019607843138,255.50980392156862,-107.88,77.57,141.06
2326.05,163.49019607843138,145.01960784313727,232.52941176470588,-132.9,67.07,69.34
