rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2128.0,-213.98039215686273,193.49019607843138,-110.0,294.0,224.96,210.85
2128.05,317.52941176470586,-84.50980392156863,224.50980392156862,239.54,217.19,177.98
2128.1,41.01960784313726,13.490196078431373,-67.49019607843137,203.91,178.2,125.41
2128.15,-315.4901960784314,-280.5098039215686,193.50980392156862,130.83,129.9,78.48
2128.2,-61.490196078431374,68.0,-264.0,96.92,92.94,49.01
2128.25,65.50980392156863,150.0,132.50980392156862,59.82,39.39,35.74
2128.3,256.5098039215686,19.0,224.50980392156862,44.31,14.43,40.61
2128.35,320.5098039215686,-29.0,-36.490196078431374,28.49,0.82,56.04
2128.4,-306.0,-94.0,-67.49019607843137,22.61,-6.35,68.85
2128.45,-195.0,-78.0,-160.49019607843138,11.17,-1.76,78.06
2128.5,-179.0,-160.0,-267.4901960784314,1.93,-0.57,81.73
2128.55,-179.0,-143.0,-283.4901960784314,-1.6,5.82,85.79
2128.6,-227.0,-274.0,298.01960784313724,3.19,8.73,71.93
2128.65,-306.0,-209.0,-298.4901960784314,-6.43,29.87,49.6
2128.7,272.5098039215686,286.5098039215686,267.01960784313724,12.11,37.39,51.84
2128.75,-290.0,319.5098039215686,-313.4901960784314,7.63,23.5,30.21
2128.8,11.0,-143.0,252.01960784313727,-14.06,43.52,18.24
2128.85,208.50980392156862,319.5098039215686,313.01960784313724,43.72,11.53,45.93
2128.9,-68.0,-192.0,-283.4901960784314,2.17,15.48,42.32
2128.95,-100.0,-192.0,252.01960784313727,20.37,10.27,52.33
2129.0,-116.0,19.0,298.01960784313724,3.68,24.86,14.67
2129.05,-45.490196078431374,-312.5098039215686,-221.49019607843138,4.45,2.81,-1.63
2129.1,-43.509803921568626,303.5098039215686,67.01960784313725,11.27,5.44,4.45
2129.15,18.50980392156863,95.49019607843137,-267.4901960784314,3.75,3.58,13.97
2129.2,-298.5098039215686,139.50980392156862,236.01960784313727,-6.11,5.54,15.51
2129.25,208.50980392156862,62.490196078431374,-206.49019607843138,1.51,-2.53,-18.39
2129.3,11.0,-13.0,298.01960784313724,-5.73,4.49,-24.1
2129.35,-4.0,35.0,298.01960784313724,-11.78,1.1,-23.85
2129.4,-68.0,68.0,313.01960784313724,-13.99,0.36,-35.19
