rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
600.0,-243.0,172.50980392156862,-175.49019607843138,6.85,4.73,-1.9
600.05,-211.0,139.50980392156862,-236.49019607843138,5.41,4.06,-4.35
600.1,-243.0,156.50980392156862,-252.49019607843138,2.89,0.21,-5.54
600.15,-275.0,139.50980392156862,-221.49019607843138,-1.33,-1.74,-3.68
600.2,-306.0,205.50980392156862,-221.49019607843138,-4.31,-1.25,-0.39
600.25,320.5098039215686,156.50980392156862,-267.4901960784314,0.79,-2.16,-2.14
600.3,-275.0,156.50980392156862,-283.4901960784314,-6.83,0.56,-3.09
600.35,-290.0,205.50980392156862,-283.4901960784314,4.08,-2.05,-2.25
600.4,-243.0,188.50980392156862,-267.4901960784314,-2.31,0.32,1.24
600.45,-259.0,156.50980392156862,-267.4901960784314,-1.19,-0.02,0.44
600.5,-275.0,205.50980392156862,-236.49019607843138,-5.29,3.71,1.91
600.55,-259.0,172.50980392156862,-283.4901960784314,-3.36,4.66,1.42
600.6,-290.0,188.50980392156862,-267.4901960784314,-3.47,2.42,-2.88
600.65,-290.0,237.50980392156862,-267.4901960784314,-5.11,0.95,-0.5
600.7,-227.0,188.50980392156862,-252.49019607843138,1.07,-0.83,0.33
600.75,-275.0,221.50980392156862,-283.4901960784314,5.62,-1.49,-1.51
600.8,-259.0,205.50980392156862,-267.4901960784314,0.69,0.42,-2.91
600.85,-243.0,172.50980392156862,-252.49019607843138,5.62,2.66,-2.84
600.9,-259.0,188.50980392156862,-298.4901960784314,-0.42,3.61,-3.44
600.95,-259.0,237.50980392156862,-252.49019607843138,4.19,1.47,-1.76
601.0,-259.0,205.50980392156862,-267.4901960784314,2.82,-0.55,0.79
601.05,-259.0,156.50980392156862,-236.49019607843138,-7.21,-0.3,0.05
601.1,-259.0,156.50980392156862,-236.49019607843138,0.65,-1.04,-2.42
601.15,-243.0,172.50980392156862,-283.4901960784314,0.51,1.33,-2.7
601.2,-211.0,188.50980392156862,-267.4901960784314,3.8,0.84,-2.04
601.25,-227.0,286.5098039215686,-298.4901960784314,-3.96,1.09,2.75
601.3,168.01960784313727,-214.50980392156862,-129.49019607843138,6.67,-3.24,3.94
601.35,11.0,112.01960784313725,-129.49019607843138,-2.66,-0.27,2.68
601.4,122.0,-268.4901960784314,-70.98039215686275,1.67,-0.34,1.98
601.45,-133.98039215686273,-149.50980392156862,313.01960784313724,-1.96,0.32,0.51
601.5,311.01960784313724,205.50980392156862,-283.4901960784314,1.28,-0.37,-0.53
601.55,-59.509803921568626,14.019607843137255,313.01960784313724,3.0,0.63,-0.5
601.6,49.509803921568626,133.0,313.01960784313724,0.34,3.82,0.61
601.65,-236.49019607843138,-94.0,-175.49019607843138,4.75,5.01,-2.56
601.7,-186.50980392156862,-50.98039215686274,-313.4901960784314,12.38,6.37,-5.15
601.75,-147.0,286.5098039215686,267.01960784313724,8.84,8.19,-6.41
601.8,295.01960784313724,313.0,-175.49019607843138,16.93,9.0,-4.87
601.85,11.0,194.01960784313727,-252.49019607843138,18.01,8.79,-1.02
601.9,313.0,-236.49019607843138,298.01960784313724,36.18,10.68,-5.05
601.95,-236.49019607843138,264.0,313.01960784313724,36.77,14.21,-11.17
602.0,208.50980392156862,-170.49019607843138,313.01960784313724,24.87,19.53,-17.72
602.05,-107.50980392156863,-17.980392156862745,190.01960784313727,7.65,32.24,-26.99
602.1,-77.49019607843137,84.0,221.01960784313727,32.12,25.1,-28.01
602.15,-29.49019607843137,123.50980392156863,-144.49019607843138,29.77,32.1,-30.25
602.2,-27.50980392156863,-132.98039215686273,282.01960784313724,30.54,31.5,-29.13
