rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1200.0,-131.0,183.0,-52.490196078431374,-99.63,45.92,102.32
1200.05,231.01960784313727,-94.0,294.52941176470586,-86.02,50.54,100.53
1200.1,129.50980392156862,-127.0,282.01960784313724,9.59,1.89,31.27
1200.15,4.490196078431373,270.5098039215686,-313.4901960784314,-25.36,17.85,57.83
1200.2,-306.0,-176.0,221.01960784313727,-7.69,2.45,38.9
1200.25,170.0,-241.0,-298.4901960784314,-6.92,1.93,35.92
1200.3,170.0,-290.0,236.01960784313727,-3.8,1.72,31.62
1200.35,106.0,-274.0,236.01960784313727,-2.05,1.86,15.03
1200.4,74.0,-241.0,-313.4901960784314,-5.94,4.59,5.16
1200.45,58.0,-225.0,282.01960784313724,4.8,-3.0,0.22
1200.5,170.0,-225.0,-313.4901960784314,-1.25,-6.08,2.04
1200.55,138.0,-307.0,298.01960784313724,4.27,-3.0,-0.54
1200.6,74.0,-274.0,-313.4901960784314,8.82,0.35,-3.37
1200.65,42.0,-209.0,252.01960784313727,12.36,-5.27,-7.43
1200.7,58.0,-274.0,-313.4901960784314,11.9,-10.52,-10.97
1200.75,122.0,-290.0,298.01960784313724,8.51,-14.58,-13.63
1200.8,58.0,-258.0,267.01960784313724,4.9,-15.21,-15.62
1200.85,90.0,319.5098039215686,252.01960784313727,4.03,-11.01,-14.08
1200.9,58.0,-290.0,-313.4901960784314,1.79,-8.53,-13.59
1200.95,58.0,-290.0,-283.4901960784314,3.01,-8.35,-11.0
1201.0,42.0,-307.0,313.01960784313724,5.71,-6.88,-5.96
1201.05,74.0,319.5098039215686,-313.4901960784314,4.97,-4.29,-0.78
1201.1,42.0,-307.0,298.01960784313724,6.06,-4.43,-0.89
1201.15,42.0,-307.0,-313.4901960784314,-0.86,-2.22,-1.59
1201.2,27.0,319.5098039215686,-298.4901960784314,8.3,-1.07,-1.62
1201.25,-36.0,-209.0,-298.4901960784314,0.63,1.41,-0.68
1201.3,-179.0,156.50980392156862,282.01960784313724,-1.67,1.13,1.52
1201.35,-98.01960784313725,-50.98039215686274,175.01960784313727,2.49,0.78,2.32
1201.4,-93.49019607843137,-198.50980392156862,-255.98039215686273,0.35,0.01,2.74
1201.45,184.01960784313727,-149.50980392156862,221.01960784313727,-0.23,0.18,2.99
1201.5,210.49019607843138,-83.98039215686275,239.50980392156862,0.11,0.25,3.13
1201.55,249.0,286.5098039215686,-298.4901960784314,-0.16,0.29,1.17
1201.6,-93.49019607843137,-165.50980392156862,-267.4901960784314,-0.23,0.57,1.06
1201.65,186.0,-154.49019607843138,252.01960784313727,-2.16,1.44,0.12
1201.7,51.490196078431374,-170.49019607843138,267.01960784313724,-0.93,2.11,0.08
1201.75,65.50980392156863,-165.50980392156862,-236.49019607843138,-2.79,3.16,-0.4
1201.8,-227.0,237.50980392156862,252.01960784313727,-3.87,2.32,-0.99
1201.85,-305.01960784313724,178.01960784313727,267.01960784313724,-1.14,0.32,-0.36
1201.9,-259.0,232.0,-283.4901960784314,-1.04,-0.23,1.52
1201.95,113.50980392156863,3.0,282.01960784313724,1.4,-0.79,0.29
1202.0,210.49019607843138,161.01960784313727,190.01960784313727,3.08,-2.12,0.4
1202.05,-20.0,3.0,-298.4901960784314,2.91,-2.26,1.83
1202.1,-29.49019607843137,248.0,-267.4901960784314,1.02,-1.07,0.82
1202.15,4.490196078431373,194.01960784313727,206.01960784313727,1.12,-1.56,-1.83
1202.2,-52.0,35.0,-267.4901960784314,3.15,-1.87,-0.64
1202.25,-13.490196078431373,183.0,-283.4901960784314,3.22,-1.7,0.61
1202.3,-91.50980392156863,-285.4901960784314,282.01960784313724,3.01,-2.64,-1.8
1202.35,-68.0,-127.0,-298.4901960784314,0.91,-1.14,0.36
1202.4,-68.0,-241.0,282.01960784313724,4.55,-2.57,0.71
1202.45,11.0,-307.0,282.01960784313724,0.67,-0.54,1.59
1202.5,27.0,319.5098039215686,-313.4901960784314,0.04,-0.82,0.15
1202.55,42.0,286.5098039215686,-313.4901960784314,-0.79,-0.72,0.36
1202.6,27.0,286.5098039215686,298.01960784313724,1.16,-0.44,0.92
1202.65,11.0,303.5098039215686,313.01960784313724,0.0,-1.07,0.43
