rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1.0,304.5098039215686,199.0,-313.4901960784314,-63.46,-4.93,-183.93
1.05,256.5098039215686,-45.0,-144.49019607843138,-79.91,11.51,-160.45
1.1,-259.0,52.0,206.01960784313727,-60.59,4.44,-117.75
1.15,295.01960784313724,46.490196078431374,-175.49019607843138,-90.76,-0.59,-79.88
1.2,-59.509803921568626,90.50980392156863,298.01960784313724,-61.57,-2.13,-47.19
1.25,288.5098039215686,291.4901960784314,-144.49019607843138,-103.53,7.94,-43.06
1.3,231.01960784313727,-18.50980392156863,-160.49019607843138,-77.67,12.18,-38.16
1.35,-59.509803921568626,-274.0,-270.98039215686276,-39.27,12.11,-24.37
1.4,-211.0,-231.50980392156862,70.50980392156863,70.72,9.76,-15.55
1.45,200.01960784313727,-286.01960784313724,-283.4901960784314,-17.85,23.9,-13.13
1.5,281.0,-89.49019607843137,282.01960784313724,15.35,5.07,6.63
1.55,256.5098039215686,-116.50980392156863,313.01960784313724,32.99,-0.13,-7.78
1.6,120.01960784313725,-35.509803921568626,-36.490196078431374,-55.62,28.17,-14.78
1.65,58.0,276.01960784313724,252.01960784313727,-49.81,26.98,-25.24
1.7,177.50980392156862,-116.50980392156863,-206.49019607843138,-177.14,55.3,-42.64
1.75,41.01960784313726,-182.50980392156862,39.509803921568626,-155.58,81.97,-116.7
1.8,11.0,-317.4901960784314,-190.49019607843138,-229.81,116.58,-147.22
1.85,-29.49019607843137,19.0,298.01960784313724,-190.61,131.49,-171.96
1.9,-6.980392156862745,275.4901960784314,-295.0,295.17,87.92,-155.16
1.95,249.0,254.50980392156862,316.5098039215686,-142.7,63.87,-168.01
2.0,-290.0,242.49019607843138,-310.0,-142.17,19.63,-80.12
2.05,190.52941176470588,-280.03921568627453,135.0,-14.53,-77.97,-3.93
2.1,-195.0,291.4901960784314,273.0,-100.49,-45.91,10.66
2.15,-243.0,-18.50980392156863,58.0,-63.14,-3.21,-25.73
2.2,-101.98039215686275,155.98039215686273,104.0,61.17,-12.31,-13.31
