rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
900.0,-131.0,79.49019607843137,39.509803921568626,0.64,-0.84,0.8
900.05,-147.0,111.49019607843137,39.509803921568626,-0.16,0.13,1.08
900.1,-179.0,95.49019607843137,39.509803921568626,-0.02,0.58,0.52
900.15,-163.0,95.49019607843137,24.50980392156863,0.71,0.09,0.0
900.2,-163.0,111.49019607843137,9.509803921568627,0.08,0.37,0.31
900.25,-147.0,111.49019607843137,39.509803921568626,0.36,1.04,0.24
900.3,-147.0,111.49019607843137,39.509803921568626,0.25,0.69,0.87
900.35,-147.0,128.49019607843138,9.509803921568627,0.81,0.16,0.69
900.4,-131.0,111.49019607843137,39.509803921568626,-0.12,-0.21,-0.07
900.45,-147.0,128.49019607843138,9.509803921568627,-0.51,-0.11,0.31
900.5,-147.0,95.49019607843137,9.509803921568627,-0.26,0.06,0.2
900.55,-147.0,111.49019607843137,24.50980392156863,0.01,0.16,0.03
900.6,-163.0,111.49019607843137,39.509803921568626,-1.42,0.34,0.06
900.65,-131.0,111.49019607843137,24.50980392156863,-0.26,0.02,-0.1
900.7,-147.0,128.49019607843138,55.509803921568626,-0.54,-0.04,0.38
900.75,-163.0,111.49019607843137,24.50980392156863,-1.0,0.13,0.45
900.8,-147.0,111.49019607843137,55.509803921568626,-0.54,-0.32,0.27
900.85,-147.0,111.49019607843137,9.509803921568627,-0.86,-0.14,0.59
900.9,-147.0,111.49019607843137,39.509803921568626,-0.23,-0.14,0.94
900.95,-163.0,128.49019607843138,39.509803921568626,-0.68,0.02,0.24
901.0,-163.0,128.49019607843138,39.509803921568626,0.01,0.16,-0.59
901.05,-147.0,111.49019607843137,39.509803921568626,-1.07,0.72,0.76
901.1,-147.0,111.49019607843137,24.50980392156863,0.74,0.76,0.9
901.15,-147.0,111.49019607843137,39.509803921568626,0.18,0.58,0.55
901.2,-163.0,111.49019607843137,55.509803921568626,0.15,0.41,0.76
901.25,-147.0,128.49019607843138,9.509803921568627,0.95,0.44,0.69
901.3,-163.0,95.49019607843137,70.50980392156863,-0.3,0.72,0.87
901.35,-147.0,95.49019607843137,24.50980392156863,0.99,0.16,0.8
901.4,-116.0,111.49019607843137,39.509803921568626,0.95,-0.88,0.83
901.45,-131.0,128.49019607843138,55.509803921568626,4.66,-1.16,1.6
901.5,-147.0,128.49019607843138,39.509803921568626,30.95,-1.02,6.71
901.55,-163.0,144.49019607843138,9.509803921568627,65.35,-0.77,12.56
901.6,-147.0,111.49019607843137,-21.49019607843137,76.06,3.42,15.11
901.65,-163.0,160.49019607843138,-36.490196078431374,63.57,4.85,18.79
901.7,-147.0,46.490196078431374,-83.49019607843137,43.55,6.04,17.21
901.75,-116.0,-51.509803921568626,-113.49019607843137,37.18,4.08,11.47
901.8,-100.0,-100.50980392156863,-113.49019607843137,25.14,3.7,6.89
901.85,-68.0,-133.50980392156862,-160.49019607843138,24.61,3.73,4.93
901.9,-84.0,-84.50980392156863,-190.49019607843138,15.44,2.82,3.42
901.95,-68.0,-133.50980392156862,-190.49019607843138,9.28,2.05,3.28
902.0,-100.0,-149.50980392156862,-190.49019607843138,3.3,0.76,1.57
902.05,-68.0,-182.50980392156862,-190.49019607843138,2.88,-0.18,1.29
902.1,-84.0,-133.50980392156862,-206.49019607843138,0.04,0.02,0.87
902.15,-68.0,-149.50980392156862,-221.49019607843138,-0.02,0.27,1.11
902.2,-52.0,-149.50980392156862,-206.49019607843138,0.18,0.41,0.48
902.25,-68.0,-149.50980392156862,-221.49019607843138,-0.12,1.11,1.18
902.3,-52.0,-2.5098039215686274,-206.49019607843138,0.11,2.47,1.39
902.35,-283.4901960784314,73.98039215686275,-313.4901960784314,-0.54,0.34,1.22
902.4,106.0,-13.0,-98.49019607843137,0.46,-0.07,1.39
902.45,-241.01960784313727,68.0,52.01960784313726,0.08,-0.98,1.04
902.5,-306.0,-318.01960784313724,255.50980392156862,0.74,-0.14,0.97
902.55,224.50980392156862,-67.50980392156863,-160.49019607843138,-0.86,0.13,0.34
902.6,210.49019607843138,-307.0,-283.4901960784314,0.46,-0.18,0.8
902.65,-259.0,242.49019607843138,-206.49019607843138,1.09,-0.39,1.25
902.7,-77.49019607843137,-318.01960784313724,-160.49019607843138,0.57,-0.42,1.36
902.75,19.49019607843137,-241.0,-267.4901960784314,-0.82,0.27,1.08
902.8,-84.0,-18.50980392156863,-206.49019607843138,-0.33,0.51,1.53
902.85,-188.49019607843138,-155.01960784313727,-144.49019607843138,-0.4,0.76,1.15
902.9,-170.50980392156862,-176.0,-237.49019607843138,1.16,1.18,1.6
902.95,122.0,-198.50980392156862,-190.49019607843138,2.67,1.07,1.15
903.0,-220.49019607843138,-40.01960784313726,-113.49019607843137,2.21,0.34,1.6
903.05,281.0,-45.0,-252.49019607843138,2.6,0.06,2.06
903.1,-313.5098039215686,248.0,-206.49019607843138,2.46,0.62,2.62
903.15,-204.49019607843138,8.980392156862745,-160.49019607843138,4.98,0.13,2.48
903.2,58.0,133.0,-237.49019607843138,0.67,0.76,2.48
903.25,-43.509803921568626,-29.0,-252.49019607843138,1.76,0.69,3.11
903.3,-77.49019607843137,-24.019607843137255,-190.49019607843138,3.51,0.93,3.88
903.35,27.0,-296.5098039215686,-252.49019607843138,2.04,2.09,3.21
903.4,11.0,-231.50980392156862,-221.49019607843138,2.88,1.81,3.46
903.45,-52.0,-165.50980392156862,-236.49019607843138,-0.16,1.32,2.02
903.5,-52.0,-165.50980392156862,-221.49019607843138,1.9,0.27,1.53
903.55,-52.0,-165.50980392156862,-221.49019607843138,2.32,0.27,1.64
