rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1801.0,-179.0,-116.50980392156863,-98.49019607843137,-44.88,34.7,-12.7
1801.05,-131.0,-67.50980392156863,-113.49019607843137,-27.63,37.05,-4.09
1801.1,-36.0,-51.509803921568626,-83.49019607843137,-4.91,30.85,9.52
1801.15,58.0,79.49019607843137,-206.49019607843138,61.3,45.55,20.09
1801.2,27.0,160.49019607843138,-252.49019607843138,3.3,80.73,33.35
1801.25,122.0,-67.50980392156863,313.01960784313724,-11.42,91.4,64.08
1801.3,-313.5098039215686,79.49019607843137,175.01960784313727,-65.32,102.29,99.01
1801.35,-59.509803921568626,-318.01960784313724,221.01960784313727,-70.82,90.25,173.39
1801.4,-27.50980392156863,-155.01960784313727,-67.49019607843137,-123.49,66.8,247.59
1801.45,35.490196078431374,242.49019607843138,-295.0,-105.08,2.33,259.24
1801.5,35.490196078431374,79.49019607843137,104.0,14.12,-8.62,196.17
1801.55,-186.50980392156862,-182.50980392156862,12.0,-38.93,6.91,108.29
1801.6,-234.50980392156862,150.0,-33.0,-2.18,-7.74,43.85
1801.65,-282.5098039215686,52.0,-141.0,-56.57,-9.81,0.8
1801.7,-43.509803921568626,68.0,-156.0,-38.51,-11.03,-10.35
1801.75,-320.01960784313724,84.0,239.50980392156862,37.99,-6.9,9.94
1801.8,-305.01960784313724,215.0,101.50980392156863,5.02,-7.29,14.8
1801.85,-209.01960784313727,84.0,301.5098039215686,31.48,-6.13,18.02
1801.9,-289.01960784313724,117.0,239.50980392156862,-11.21,-2.81,21.21
1801.95,258.4901960784314,-13.0,-295.0,46.39,-24.58,7.03
1802.0,226.49019607843138,183.0,-172.0,-17.27,-5.64,-5.8
1802.05,194.49019607843138,-209.0,-279.0,84.68,-7.18,-3.95
1802.1,306.4901960784314,297.0,101.50980392156863,19.12,4.22,-30.3
1802.15,-273.01960784313724,-13.0,178.50980392156862,0.5,-10.86,-10.7
1802.2,-289.01960784313724,133.0,39.509803921568626,87.93,-28.22,-10.77
1802.25,-273.01960784313724,183.0,178.50980392156862,-2.11,9.64,-12.14
1802.3,-11.509803921568627,150.0,239.50980392156862,124.79,-24.37,-3.28
1802.35,131.49019607843138,68.0,-233.0,-112.57,2.75,-12.0
1802.4,51.490196078431374,-274.0,286.5098039215686,63.22,-4.84,-3.39
1802.45,242.49019607843138,-214.50980392156862,-129.49019607843138,2.32,0.09,1.54
1802.5,178.49019607843138,-29.0,132.50980392156862,-23.71,-12.01,21.98
1802.55,-289.01960784313724,-62.0,147.50980392156862,-58.46,4.64,21.14
1802.6,274.4901960784314,-45.0,162.50980392156862,-77.12,23.05,15.12
1802.65,67.49019607843137,52.0,-98.49019607843137,47.44,-17.72,36.89
1802.7,178.49019607843138,35.0,-310.0,-179.49,6.32,16.9
1802.75,83.49019607843137,286.5098039215686,-279.0,-6.56,5.23,30.27
1802.8,290.4901960784314,-198.50980392156862,-52.490196078431374,-76.42,11.08,40.63
1802.85,290.4901960784314,-62.0,224.50980392156862,-108.44,-4.45,66.99
1802.9,-241.01960784313727,-29.0,101.50980392156863,-94.09,-1.3,66.53
1802.95,-193.01960784313727,52.0,239.50980392156862,-140.36,10.38,45.78
1803.0,-257.01960784313724,133.0,147.50980392156862,35.05,-38.61,76.61
1803.05,258.4901960784314,183.0,-295.0,-258.21,6.77,59.25
1803.1,-11.509803921568627,319.5098039215686,12.0,-68.19,6.39,42.17
1803.15,306.4901960784314,-133.50980392156862,239.50980392156862,-133.85,19.16,28.31
1803.2,290.4901960784314,19.0,-18.0,-127.8,33.55,36.19
1803.25,-241.01960784313727,166.0,-264.0,-131.79,-0.39,46.55
1803.3,-193.01960784313727,133.0,73.0,-186.21,-11.31,32.62
1803.35,306.4901960784314,166.0,-64.0,-81.46,-59.33,39.37
1803.4,-273.01960784313724,-231.50980392156862,73.0,-134.06,-13.52,27.68
1803.45,-289.01960784313724,-127.0,-49.0,-73.93,-22.06,6.54
1803.5,290.4901960784314,313.0,224.50980392156862,-23.01,-98.99,-67.26
1803.55,290.4901960784314,-209.0,-3.0,-50.03,-135.74,-146.08
1803.6,178.49019607843138,205.50980392156862,58.0,273.15,-232.76,-128.3
